date,product,region,quantity,sales,profit
2023-01-15,Mobile,USA,3,9731,1731
2023-01-16,Headphones,USA,7,31058,3554
2023-01-16,Laptop,India,7,29816,3909
2023-01-16,Camera,UK,8,20892,5750
2023-01-16,Tablet,Germany,8,43556,7182
2023-01-17,Camera,India,8,29538,7851
2023-01-17,Laptop,India,6,34338,9815
2023-01-17,Smartwatch,USA,7,26767,5799
2023-01-18,Camera,UK,2,49478,6454
2023-01-18,Smartwatch,USA,8,44089,6878
2023-01-18,Mobile,Germany,1,14387,3324
2023-01-18,Headphones,India,2,12343,3601
2023-01-18,Tablet,India,8,6937,978
2023-01-19,Headphones,USA,7,24229,4424
2023-01-19,Mobile,Canada,6,1007,115
2023-01-19,Mobile,Germany,6,2531,604
2023-01-19,Camera,UK,2,38839,5047
2023-01-19,Laptop,India,2,34056,9801
2023-01-19,Headphones,India,6,33464,9343
2023-01-20,Smartwatch,UK,2,16376,2358
2023-01-20,Smartwatch,Canada,7,14308,3684
2023-01-20,Tablet,India,1,29601,8192
2023-01-20,Headphones,Germany,4,19814,5190
2023-01-21,Camera,Germany,7,4931,1437
2023-01-21,Tablet,UK,7,16759,2532
2023-01-21,Laptop,UK,3,37569,4680
2023-01-21,Tablet,USA,6,25715,4933
2023-01-21,Camera,Germany,1,28613,5278
2023-01-22,Tablet,USA,6,27600,5490
2023-01-22,Mobile,Canada,3,44853,9772
2023-01-22,Smartwatch,USA,4,46373,9917
2023-01-22,Tablet,Canada,4,41638,4404
2023-01-23,Smartwatch,India,10,38450,11111
2023-01-23,Laptop,USA,7,42871,4705
2023-01-23,Smartwatch,India,5,24541,5296
2023-01-23,Headphones,USA,3,23510,3239
2023-01-23,Laptop,Canada,1,28587,3930
2023-01-23,Laptop,USA,2,15544,1604
2023-01-24,Smartwatch,Canada,7,11432,2370
2023-01-24,Camera,UK,8,35329,8058
2023-01-24,Smartwatch,UK,6,27682,5455
2023-01-24,Camera,USA,4,13292,3854
2023-01-24,Camera,Germany,5,16108,2368
2023-01-25,Laptop,USA,5,9377,2152
2023-01-25,Smartwatch,Canada,3,32348,6707
2023-01-25,Headphones,Canada,6,48587,9773
2023-01-26,Laptop,USA,10,28700,5614
2023-01-26,Tablet,USA,8,35160,7742
2023-01-26,Headphones,Canada,9,26047,7642
2023-01-26,Headphones,USA,10,43173,10259
2023-01-27,Camera,UK,9,36080,10203
2023-01-27,Mobile,Germany,9,35039,6427
2023-01-27,Laptop,UK,6,6967,1567
2023-01-27,Laptop,Canada,8,41495,8799
2023-01-28,Laptop,Canada,2,10717,1455
2023-01-28,Laptop,Germany,8,19125,3839
2023-01-28,Headphones,USA,5,4698,596
2023-01-29,Smartwatch,Germany,5,3341,917
2023-01-29,Tablet,Germany,3,26707,3813
2023-01-29,Headphones,India,2,34506,7537
2023-01-29,Headphones,India,4,20302,4397
2023-01-29,Smartwatch,Germany,6,39481,6485
2023-01-30,Headphones,USA,5,19917,2186
2023-01-30,Camera,UK,2,9511,2760
2023-01-30,Headphones,USA,7,25175,6975
2023-01-30,Laptop,USA,5,30096,6459
2023-01-30,Headphones,USA,5,36478,8671
2023-01-31,Headphones,Germany,10,9801,1250
2023-01-31,Smartwatch,India,5,40160,7297
2023-01-31,Mobile,Canada,8,37242,6395
2023-01-31,Camera,India,1,4233,829
2023-01-31,Laptop,USA,3,18985,2023
2023-01-31,Camera,India,8,2362,487
2023-02-01,Smartwatch,India,2,25660,5588
2023-02-01,Camera,UK,3,21416,2837
2023-02-01,Smartwatch,Canada,7,15270,2633
2023-02-01,Mobile,Germany,9,1763,284
2023-02-02,Mobile,Germany,7,2634,583
2023-02-02,Laptop,Canada,7,9240,1666
2023-02-02,Laptop,India,1,32413,6760
2023-02-02,Laptop,India,5,3062,634
2023-02-02,Mobile,India,1,23349,4915
2023-02-03,Mobile,Germany,7,36238,10178
2023-02-03,Mobile,Canada,10,29048,4992
2023-02-03,Camera,UK,9,17260,4352
2023-02-04,Smartwatch,Canada,7,42724,10673
2023-02-04,Smartwatch,USA,9,23223,4372
2023-02-04,Tablet,UK,7,20725,2699
2023-02-04,Laptop,Germany,7,46261,13735
2023-02-04,Tablet,Germany,3,38756,9380
2023-02-05,Mobile,India,7,13793,2362
2023-02-05,Mobile,Germany,1,39500,11025
2023-02-05,Smartwatch,Germany,4,22591,6674
2023-02-05,Headphones,Germany,5,19852,2543
2023-02-05,Laptop,India,9,36386,8262
2023-02-05,Camera,Germany,10,11936,2399
2023-02-06,Tablet,USA,4,5395,1484
2023-02-06,Camera,India,9,34942,9654
2023-02-06,Headphones,Canada,4,45956,7596
2023-02-06,Smartwatch,UK,4,33623,3923
2023-02-06,Tablet,Germany,3,47830,13550
2023-02-07,Camera,Germany,2,25069,5095
2023-02-07,Smartwatch,Germany,1,38746,6519
2023-02-07,Smartwatch,India,1,23982,4047
2023-02-07,Headphones,Germany,8,48120,12686
2023-02-07,Laptop,UK,8,49200,7657
2023-02-08,Laptop,India,7,26843,3069
2023-02-08,Tablet,USA,6,9380,1539
2023-02-08,Camera,Germany,4,17163,2612
2023-02-08,Laptop,Canada,1,32051,4752
2023-02-08,Mobile,UK,10,30914,8597
2023-02-08,Laptop,UK,2,48051,5799
2023-02-09,Smartwatch,USA,8,5893,934
2023-02-09,Camera,USA,1,5346,1581
2023-02-09,Headphones,Germany,3,25048,3863
2023-02-09,Laptop,India,5,46903,13367
2023-02-10,Smartwatch,UK,3,6571,908
2023-02-10,Laptop,USA,9,4350,1011
2023-02-10,Mobile,USA,4,10830,3072
2023-02-10,Tablet,India,8,8537,2385
2023-02-11,Camera,India,3,36858,4834
2023-02-11,Mobile,Canada,8,3957,599
2023-02-11,Mobile,Canada,5,33776,6703
2023-02-11,Tablet,UK,9,12928,3372
2023-02-12,Headphones,USA,5,12914,1966
2023-02-12,Tablet,India,9,24924,3528
2023-02-12,Headphones,India,6,5447,1067
2023-02-13,Laptop,Germany,5,32910,6740
2023-02-13,Camera,Germany,3,19405,3911
2023-02-13,Smartwatch,India,3,14734,3014
2023-02-13,Headphones,USA,3,15010,2458
2023-02-14,Mobile,UK,4,14429,4233
2023-02-14,Tablet,India,3,34284,4048
2023-02-14,Mobile,Germany,2,43931,6183
2023-02-14,Smartwatch,UK,1,8291,1618
2023-02-15,Smartwatch,India,4,4924,896
2023-02-15,Camera,USA,1,42007,7982
2023-02-15,Mobile,India,1,9363,2645
2023-02-15,Smartwatch,Canada,1,21146,4965
2023-02-15,Smartwatch,Germany,3,45562,9277
2023-02-16,Smartwatch,Germany,8,20233,5123
2023-02-16,Smartwatch,Canada,10,3094,892
2023-02-16,Laptop,India,1,5729,869
2023-02-16,Camera,India,9,9242,1373
2023-02-16,Tablet,India,8,12406,3038
2023-02-16,Smartwatch,Canada,6,38372,8304
2023-02-17,Laptop,Canada,3,18676,3503
2023-02-17,Headphones,Germany,7,3960,950
2023-02-17,Smartwatch,India,7,10512,2292
2023-02-18,Camera,Germany,2,49388,10891
2023-02-18,Headphones,UK,1,18408,2594
2023-02-18,Laptop,Germany,2,43134,6978
2023-02-19,Smartwatch,India,8,9718,2194
2023-02-19,Laptop,UK,2,26577,7078
2023-02-19,Camera,Germany,7,39348,9148
2023-02-19,Laptop,India,4,35805,5023
2023-02-19,Smartwatch,Canada,2,10419,2688
2023-02-19,Mobile,Canada,9,34229,8467
2023-02-20,Tablet,Germany,1,7070,788
2023-02-20,Smartwatch,Canada,3,12242,2747
2023-02-20,Headphones,USA,5,24407,6586
2023-02-20,Tablet,UK,3,45810,11819
2023-02-20,Laptop,Germany,7,20381,3148
2023-02-20,Laptop,Canada,1,48730,12453
2023-02-21,Tablet,Germany,2,22339,5760
2023-02-21,Tablet,Germany,8,16995,3679
2023-02-21,Smartwatch,India,7,31537,4232
2023-02-21,Headphones,India,6,16748,2779
2023-02-21,Headphones,India,5,44922,10299
2023-02-22,Mobile,USA,6,7769,1052
2023-02-22,Camera,Germany,5,6970,1988
2023-02-22,Camera,India,4,48154,7472
2023-02-23,Smartwatch,Germany,6,5769,1249
2023-02-23,Laptop,Canada,10,10271,2671
2023-02-23,Tablet,India,5,33583,9537
2023-02-23,Camera,Germany,1,9348,2786
2023-02-23,Headphones,UK,5,16593,4413
2023-02-23,Tablet,Germany,10,5592,1582
2023-02-24,Smartwatch,Germany,8,28531,6408
2023-02-24,Laptop,UK,9,6090,967
2023-02-24,Laptop,Germany,3,33551,6612
2023-02-24,Tablet,Germany,1,8610,1838
2023-02-24,Laptop,UK,3,36018,9661
2023-02-24,Tablet,Canada,10,49470,12694
2023-02-25,Laptop,Germany,2,46358,13590
2023-02-25,Laptop,Germany,8,44566,5539
2023-02-25,Camera,Canada,2,19192,2965
2023-02-25,Tablet,India,1,20714,5737
2023-02-25,Smartwatch,UK,3,1381,157
2023-02-26,Tablet,Germany,2,48621,5998
2023-02-26,Laptop,USA,9,22785,3768
2023-02-26,Smartwatch,Germany,1,34220,5591
2023-02-26,Smartwatch,India,10,45799,7151
2023-02-27,Laptop,UK,1,4640,1020
2023-02-27,Headphones,Germany,9,37252,4876
2023-02-27,Laptop,Canada,5,38520,5081
2023-02-27,Laptop,UK,10,25601,7469
2023-02-27,Mobile,Canada,3,31094,4688
2023-02-27,Headphones,USA,7,26617,4781
2023-02-28,Headphones,India,5,12464,2969
2023-02-28,Smartwatch,UK,9,23085,5501
2023-02-28,Tablet,Canada,5,1472,414
2023-02-28,Tablet,India,9,13499,3992
2023-03-01,Camera,Canada,2,44474,8450
2023-03-01,Smartwatch,India,2,14225,3546
2023-03-01,Mobile,UK,1,42087,7063
2023-03-01,Laptop,Germany,3,14442,2309
2023-03-02,Camera,Germany,7,20866,5890
2023-03-02,Camera,Germany,3,27004,6247
2023-03-02,Camera,Germany,2,29043,7369
2023-03-03,Mobile,UK,1,27356,5401
2023-03-03,Tablet,India,8,14764,3314
2023-03-03,Smartwatch,UK,3,32728,3718
2023-03-03,Camera,UK,7,21639,2392
2023-03-03,Tablet,USA,4,19573,5742
2023-03-04,Camera,India,5,34681,9555
2023-03-04,Smartwatch,USA,4,10629,2373
2023-03-04,Headphones,USA,4,31390,7581
2023-03-04,Smartwatch,USA,10,6077,779
2023-03-05,Smartwatch,USA,7,3637,372
2023-03-05,Laptop,Canada,10,33485,6983
2023-03-05,Laptop,Canada,6,22823,5225
2023-03-05,Headphones,UK,7,16332,1826
2023-03-06,Headphones,UK,3,9025,2649
2023-03-06,Smartwatch,India,3,49383,6933
2023-03-06,Mobile,USA,9,41711,4211
2023-03-06,Tablet,USA,10,1811,492
2023-03-06,Camera,USA,6,33147,5782
2023-03-07,Laptop,Canada,7,10798,3185
2023-03-07,Camera,India,10,14245,3967
2023-03-07,Mobile,UK,7,16615,3503
2023-03-07,Headphones,Germany,3,27644,5473
2023-03-07,Camera,UK,2,28971,4789
2023-03-07,Mobile,Germany,6,23788,7083
2023-03-08,Mobile,India,5,26768,3640
2023-03-08,Camera,India,9,43950,9941
2023-03-08,Smartwatch,UK,2,37626,4892
2023-03-08,Tablet,India,1,41421,8781
2023-03-08,Camera,UK,6,46591,11103
2023-03-09,Smartwatch,UK,1,45300,12944
2023-03-09,Camera,Canada,5,49623,10937
2023-03-09,Camera,Germany,6,8981,1650
2023-03-09,Laptop,Canada,4,6585,905
2023-03-09,Laptop,USA,5,3195,432
2023-03-09,Camera,Canada,8,16378,3985
2023-03-10,Mobile,USA,1,42846,11626
2023-03-10,Mobile,UK,9,14500,2888
2023-03-10,Tablet,Canada,10,14459,3145
2023-03-10,Smartwatch,Canada,5,40494,4231
2023-03-11,Headphones,UK,2,32976,4253
2023-03-11,Tablet,USA,7,17320,2454
2023-03-11,Smartwatch,Germany,1,32418,6487
2023-03-12,Laptop,USA,6,41632,7875
2023-03-12,Mobile,UK,8,5723,1644
2023-03-12,Smartwatch,UK,5,5990,1162
2023-03-12,Tablet,Germany,3,11225,2806
2023-03-12,Laptop,Canada,1,31404,4999
2023-03-12,Camera,India,2,24292,7222
2023-03-13,Laptop,USA,1,41490,9984
2023-03-13,Smartwatch,Germany,4,4916,1391
2023-03-13,Tablet,UK,5,43724,10559
2023-03-13,Laptop,Canada,6,15224,3024
2023-03-14,Headphones,Canada,8,37442,7079
2023-03-14,Headphones,India,5,2043,561
2023-03-14,Camera,India,10,35902,7531
2023-03-14,Mobile,Canada,1,42546,9416
2023-03-14,Tablet,Canada,7,27580,7337
2023-03-15,Headphones,Germany,2,46903,10731
2023-03-15,Headphones,India,7,4256,1194
2023-03-15,Smartwatch,USA,7,10360,2617
2023-03-15,Tablet,Germany,9,9299,2242
2023-03-15,Tablet,Germany,6,7853,1314
2023-03-15,Camera,Canada,2,16491,4390
2023-03-16,Mobile,India,4,10250,2435
2023-03-16,Mobile,Germany,8,26924,6498
2023-03-16,Laptop,Canada,6,7841,877
2023-03-17,Headphones,Canada,2,42324,9660
2023-03-17,Camera,Germany,9,39758,9590
2023-03-17,Smartwatch,USA,6,22625,4580
2023-03-17,Camera,USA,4,41618,8043
2023-03-17,Mobile,Germany,1,15940,2678
2023-03-18,Tablet,Canada,3,38583,11564
2023-03-18,Mobile,UK,4,11957,2700
2023-03-18,Headphones,UK,10,46537,11062
2023-03-18,Headphones,India,6,42674,8425
2023-03-18,Camera,India,1,6993,768
2023-03-18,Headphones,USA,10,37183,3744
2023-03-19,Headphones,USA,6,14116,1512
2023-03-19,Tablet,India,10,19282,2028
2023-03-19,Mobile,India,10,34175,5248
2023-03-19,Tablet,Canada,5,36619,6141
2023-03-19,Laptop,UK,7,25894,5616
2023-03-19,Headphones,India,1,34511,4873
2023-03-20,Smartwatch,Canada,8,6699,1314
2023-03-20,Smartwatch,USA,1,28653,3542
2023-03-20,Mobile,UK,4,36317,6945
2023-03-20,Headphones,UK,2,1727,231
2023-03-20,Tablet,Germany,6,10573,1126
2023-03-21,Camera,UK,2,2028,581
2023-03-21,Smartwatch,USA,4,35138,8379
2023-03-21,Tablet,UK,6,31161,4923
2023-03-21,Mobile,USA,3,22113,5906
2023-03-22,Mobile,India,2,15175,2891
2023-03-22,Smartwatch,India,4,21827,3517
2023-03-22,Camera,India,4,16301,1939
2023-03-22,Smartwatch,Germany,3,31832,5630
2023-03-22,Laptop,Canada,5,44231,10140
2023-03-23,Mobile,India,7,27742,5416
2023-03-23,Headphones,UK,1,6722,1523
2023-03-23,Tablet,Germany,1,8647,2071
2023-03-24,Headphones,India,8,6308,1510
2023-03-24,Camera,India,2,17201,4197
2023-03-24,Smartwatch,USA,2,8916,1241
2023-03-25,Smartwatch,Germany,3,13184,1528
2023-03-25,Camera,UK,9,9840,2655
2023-03-25,Tablet,India,10,30827,3225
2023-03-25,Laptop,India,10,12214,2946
2023-03-25,Tablet,India,2,18455,4634
2023-03-25,Tablet,Canada,3,11930,2639
2023-03-26,Tablet,UK,1,35304,8219
2023-03-26,Laptop,UK,9,49060,8721
2023-03-26,Tablet,UK,8,28781,5345
2023-03-26,Tablet,Canada,6,39351,7160
2023-03-26,Laptop,Germany,5,36404,6466
2023-03-27,Camera,India,4,25391,5732
2023-03-27,Headphones,India,5,30810,6567
2023-03-27,Smartwatch,Canada,3,5447,1578
2023-03-27,Camera,USA,5,39995,9918
2023-03-27,Camera,UK,10,7877,1639
2023-03-27,Mobile,USA,5,23407,4567
2023-03-28,Camera,USA,6,39191,8756
2023-03-28,Headphones,Germany,4,17937,3787
2023-03-28,Headphones,India,2,20487,5707
2023-03-28,Smartwatch,USA,8,16010,4443
2023-03-28,Mobile,Canada,5,4719,980
2023-03-29,Mobile,Germany,10,31125,6930
2023-03-29,Tablet,Germany,1,45319,9537
2023-03-29,Smartwatch,UK,8,25374,6509
2023-03-30,Tablet,Germany,5,37389,10084
2023-03-30,Smartwatch,UK,5,17298,4219
2023-03-30,Mobile,USA,10,5818,1043
2023-03-30,Mobile,India,5,41339,8968
2023-03-30,Headphones,Germany,1,43775,10798
2023-03-31,Camera,USA,9,42677,10199
2023-03-31,Camera,USA,2,47339,11717
2023-03-31,Headphones,UK,1,25467,3915
2023-04-01,Smartwatch,Canada,9,44191,9235
2023-04-01,Headphones,Germany,7,21418,3708
2023-04-01,Smartwatch,USA,2,27125,4142
2023-04-01,Headphones,UK,5,44235,10788
2023-04-02,Smartwatch,Canada,8,39740,8320
2023-04-02,Smartwatch,India,5,8670,1016
2023-04-02,Camera,USA,2,31142,3307
2023-04-02,Laptop,Germany,6,32745,5129
2023-04-02,Mobile,UK,10,5445,897
2023-04-02,Headphones,Germany,5,40458,4130
2023-04-03,Tablet,Canada,4,21343,5782
2023-04-03,Tablet,USA,5,9781,1841
2023-04-03,Tablet,UK,5,49729,9638
2023-04-04,Headphones,UK,5,16995,3151
2023-04-04,Laptop,UK,8,4090,712
2023-04-04,Smartwatch,UK,2,42466,11701
2023-04-04,Camera,UK,4,14531,2358
2023-04-05,Camera,India,2,2528,418
2023-04-05,Laptop,Canada,3,2844,508
2023-04-05,Headphones,UK,1,42920,11268
2023-04-05,Mobile,UK,9,31116,6824
2023-04-06,Headphones,USA,9,44046,4981
2023-04-06,Tablet,India,4,33855,7904
2023-04-06,Smartwatch,USA,7,16096,1748
2023-04-06,Camera,UK,9,38963,11600
2023-04-06,Laptop,India,8,28531,5056
2023-04-07,Smartwatch,India,3,12416,3702
2023-04-07,Headphones,UK,8,3388,826
2023-04-07,Smartwatch,India,2,24622,2979
2023-04-07,Tablet,India,3,22972,3466
2023-04-08,Mobile,UK,5,33201,7978
2023-04-08,Camera,USA,4,21136,5865
2023-04-08,Tablet,UK,5,24101,5064
2023-04-09,Tablet,USA,7,41186,6612
2023-04-09,Camera,Canada,3,44811,5525
2023-04-09,Headphones,Canada,10,18231,4040
2023-04-10,Mobile,USA,8,25395,6584
2023-04-10,Tablet,USA,9,46838,8144
2023-04-10,Mobile,UK,4,43295,12318
2023-04-10,Tablet,UK,5,6249,838
2023-04-10,Tablet,USA,10,22614,2976
2023-04-10,Laptop,USA,7,16003,2735
2023-04-11,Headphones,Canada,4,13520,3141
2023-04-11,Laptop,UK,10,34290,9503
2023-04-11,Smartwatch,USA,2,46724,10767
2023-04-11,Camera,UK,7,44569,7174
2023-04-11,Camera,UK,3,27882,3056
2023-04-12,Smartwatch,USA,4,30748,3402
2023-04-12,Camera,UK,2,24902,3204
2023-04-12,Headphones,UK,1,5190,911
2023-04-13,Mobile,USA,1,9250,2236
2023-04-13,Mobile,India,3,44880,9964
2023-04-13,Smartwatch,USA,4,17456,4645
2023-04-13,Camera,Canada,2,9202,1812
2023-04-14,Camera,Germany,10,29655,7792
2023-04-14,Tablet,USA,6,39296,6558
2023-04-14,Headphones,Germany,10,9849,2325
2023-04-14,Tablet,UK,6,35874,6277
2023-04-14,Camera,Germany,6,5888,1371
2023-04-14,Mobile,UK,3,26798,6481
2023-04-15,Headphones,USA,4,16258,3914
2023-04-15,Mobile,India,2,10517,2216
2023-04-15,Laptop,India,3,8236,2335
2023-04-15,Smartwatch,UK,4,33861,5868
2023-04-16,Camera,India,9,48797,10178
2023-04-16,Smartwatch,Germany,4,9450,1724
2023-04-16,Headphones,UK,7,12900,1858
2023-04-17,Headphones,Germany,2,44022,12331
2023-04-17,Tablet,India,5,10069,2726
2023-04-17,Smartwatch,UK,9,15678,4391
2023-04-17,Tablet,UK,4,47135,9791
2023-04-18,Headphones,UK,9,2112,594
2023-04-18,Laptop,Canada,8,17529,4397
2023-04-18,Laptop,Germany,1,17427,2572
2023-04-19,Laptop,Germany,4,39652,5902
2023-04-19,Smartwatch,UK,6,15358,1778
2023-04-19,Camera,Germany,4,46749,4800
2023-04-19,Laptop,USA,8,8985,2509
2023-04-19,Camera,India,4,5666,766
2023-04-20,Camera,India,9,41894,12252
2023-04-20,Headphones,Canada,4,40455,4472
2023-04-20,Smartwatch,UK,10,41483,4707
2023-04-21,Smartwatch,Germany,8,16613,4352
2023-04-21,Laptop,Germany,4,29511,6044
2023-04-21,Camera,USA,4,19730,5119
2023-04-22,Smartwatch,Germany,6,21984,2963
2023-04-22,Mobile,India,3,5531,1063
2023-04-22,Mobile,Canada,10,42691,9537
2023-04-22,Smartwatch,Canada,5,27743,5429
2023-04-22,Smartwatch,India,3,44924,4915
2023-04-22,Smartwatch,USA,7,47484,11036
2023-04-23,Laptop,USA,2,23736,2446
2023-04-23,Smartwatch,Germany,10,37773,8973
2023-04-23,Camera,Canada,9,41176,10619
2023-04-24,Tablet,UK,2,11672,2239
2023-04-24,Camera,UK,3,22824,4270
2023-04-24,Camera,UK,1,20576,3463
2023-04-24,Headphones,Canada,1,24236,4740
2023-04-24,Headphones,India,5,28294,5050
2023-04-24,Tablet,Canada,2,25128,3272
2023-04-25,Smartwatch,Canada,4,15287,2723
2023-04-25,Tablet,India,5,34514,3566
2023-04-25,Headphones,Canada,9,5224,1295
2023-04-26,Camera,India,10,18569,3365
2023-04-26,Tablet,USA,9,9413,1787
2023-04-26,Mobile,USA,1,24880,7266
2023-04-26,Mobile,USA,2,39139,8292
2023-04-26,Camera,USA,1,44469,10165
2023-04-27,Mobile,India,1,25725,5649
2023-04-27,Mobile,UK,4,34972,8510
2023-04-27,Camera,Canada,10,49973,8067
2023-04-27,Mobile,Canada,8,38898,6286
2023-04-27,Laptop,Canada,2,48113,12628
2023-04-28,Mobile,India,2,34766,8394
2023-04-28,Tablet,Germany,7,14169,3336
2023-04-28,Headphones,UK,1,43211,12895
2023-04-28,Headphones,India,1,42361,9321
2023-04-28,Smartwatch,India,9,10343,2106
2023-04-28,Tablet,Germany,10,19156,3028
2023-04-29,Headphones,India,8,46133,11800
2023-04-29,Laptop,USA,1,23733,4588
2023-04-29,Smartwatch,Canada,6,39323,8755
2023-04-29,Smartwatch,USA,10,2191,597
2023-04-29,Headphones,Germany,10,47120,11693
2023-04-30,Smartwatch,USA,2,24407,5845
2023-04-30,Headphones,USA,10,47770,13613
2023-04-30,Laptop,Canada,6,5111,1178
2023-04-30,Mobile,India,1,38227,8754
2023-04-30,Mobile,India,5,1907,489
2023-04-30,Smartwatch,Canada,7,16523,1857
2023-05-01,Mobile,Germany,2,34996,7331
2023-05-01,Camera,UK,9,12701,3609
2023-05-01,Smartwatch,UK,9,31761,3316
2023-05-01,Headphones,UK,2,19712,3858
2023-05-01,Camera,Germany,1,22264,2694
2023-05-01,Laptop,USA,7,5001,1213
2023-05-02,Camera,Germany,7,39185,8190
2023-05-02,Headphones,UK,9,43154,4890
2023-05-02,Headphones,USA,4,8686,938
2023-05-02,Camera,Germany,1,31383,5139
2023-05-02,Camera,UK,6,14578,2529
2023-05-03,Smartwatch,UK,9,36957,4175
2023-05-03,Mobile,UK,9,26792,5459
2023-05-03,Mobile,India,4,7592,1085
2023-05-03,Tablet,USA,8,6625,1943
2023-05-04,Camera,UK,8,44834,6863
2023-05-04,Mobile,India,3,44905,10293
2023-05-04,Smartwatch,Germany,9,26168,6330
2023-05-04,Tablet,USA,8,42703,11377
2023-05-05,Tablet,India,6,37294,6267
2023-05-05,Smartwatch,Germany,10,19166,2798
2023-05-05,Camera,USA,1,2508,605
2023-05-05,Camera,USA,10,1547,394
2023-05-05,Camera,UK,1,15772,1731
2023-05-06,Mobile,Germany,8,6819,1069
2023-05-06,Headphones,Germany,8,39345,8135
2023-05-06,Camera,UK,1,21003,3195
2023-05-07,Tablet,Germany,2,32894,8199
2023-05-07,Laptop,USA,1,41983,5205
2023-05-07,Laptop,Canada,6,36308,7889
2023-05-08,Smartwatch,India,8,26828,6283
2023-05-08,Headphones,UK,3,31711,8707
2023-05-08,Camera,UK,7,11420,3195
2023-05-08,Headphones,Canada,2,17048,2738
2023-05-09,Mobile,Canada,8,49873,9761
2023-05-09,Tablet,India,2,25299,6807
2023-05-09,Mobile,UK,9,41551,5229
2023-05-09,Smartwatch,India,6,10505,1747
2023-05-10,Camera,Canada,10,36091,10331
2023-05-10,Mobile,UK,5,35591,10282
2023-05-10,Laptop,Canada,7,2464,256
2023-05-10,Camera,Canada,4,12736,3313
2023-05-10,Smartwatch,UK,7,23143,2748
2023-05-10,Camera,USA,10,42870,4836
2023-05-11,Laptop,Canada,7,25881,3528
2023-05-11,Headphones,Canada,3,12118,3162
2023-05-11,Camera,Germany,7,5280,1553
2023-05-11,Camera,USA,6,43077,7159
2023-05-12,Tablet,India,4,42364,9439
2023-05-12,Camera,Germany,4,41513,11043
2023-05-12,Mobile,India,5,23114,5566
2023-05-12,Laptop,USA,4,18283,1856
2023-05-12,Mobile,USA,5,28348,3157
2023-05-13,Tablet,India,9,20131,3467
2023-05-13,Headphones,Germany,1,12533,3757
2023-05-13,Camera,India,10,46814,7860
2023-05-14,Tablet,India,7,48418,12691
2023-05-14,Laptop,Canada,3,23263,4837
2023-05-14,Tablet,Canada,3,13712,3210
2023-05-15,Smartwatch,UK,6,38292,8467
2023-05-15,Laptop,UK,4,15005,2580
2023-05-15,Camera,Canada,2,40062,10381
2023-05-15,Tablet,Germany,4,13071,1935
2023-05-15,Mobile,Canada,1,15124,4200
2023-05-15,Headphones,UK,8,18907,4801
2023-05-16,Headphones,USA,4,36827,8268
2023-05-16,Headphones,Canada,1,4644,783
