date,product,sales,users
2023-02-06,In-game Purchase,9348,192
2023-02-07,Game Pass,13533,242
2023-02-07,Premium Subscription,17379,368
2023-02-07,In-game Purchase,9602,171
2023-02-08,Game Pass,14605,281
2023-02-08,Premium Subscription,17035,394
2023-02-08,In-game Purchase,9962,192
2023-02-09,Game Pass,14887,306
2023-02-09,Premium Subscription,17804,337
2023-02-09,In-game Purchase,9512,169
2023-02-10,Game Pass,13952,255
2023-02-10,Premium Subscription,18072,307
2023-02-10,In-game Purchase,9214,161
2023-02-11,Game Pass,19675,371
2023-02-11,Premium Subscription,21403,513
2023-02-11,In-game Purchase,12546,240
2023-02-12,Game Pass,17924,390
2023-02-12,Premium Subscription,23525,396
2023-02-12,In-game Purchase,11941,262
2023-02-13,Game Pass,13542,241
2023-02-13,Premium Subscription,16974,319
2023-02-13,In-game Purchase,9802,170
2023-02-14,Game Pass,14167,336
2023-02-14,Premium Subscription,17796,343
2023-02-14,In-game Purchase,9115,188
2023-02-15,Game Pass,13846,232
2023-02-15,Premium Subscription,17857,423
2023-02-15,In-game Purchase,9386,233
2023-02-16,Game Pass,14269,246
2023-02-16,Premium Subscription,18409,308
2023-02-16,In-game Purchase,10123,226
2023-02-17,Game Pass,14306,251
2023-02-17,Premium Subscription,16678,388
2023-02-17,In-game Purchase,9192,199
2023-02-18,Game Pass,18157,348
2023-02-18,Premium Subscription,24547,534
2023-02-18,In-game Purchase,12150,204
2023-02-19,Game Pass,17153,288
2023-02-19,Premium Subscription,23067,557
2023-02-19,In-game Purchase,12260,254
2023-02-20,Game Pass,13750,291
2023-02-20,Premium Subscription,17352,303
2023-02-20,In-game Purchase,9610,223
2023-02-21,Game Pass,13977,237
2023-02-21,Premium Subscription,17326,331
2023-02-21,In-game Purchase,10244,242
2023-02-22,Game Pass,14602,306
2023-02-22,Premium Subscription,18207,407
2023-02-22,In-game Purchase,9394,176
2023-02-23,Game Pass,14831,311
2023-02-23,Premium Subscription,18746,314
2023-02-23,In-game Purchase,9053,168
2023-02-24,Game Pass,14984,353
2023-02-24,Premium Subscription,17733,314
2023-02-24,In-game Purchase,10119,247
2023-02-25,Game Pass,18234,319
2023-02-25,Premium Subscription,23105,472
2023-02-25,In-game Purchase,12308,245
2023-02-26,Game Pass,18580,332
2023-02-26,Premium Subscription,20619,397
2023-02-26,In-game Purchase,13059,236
2023-02-27,Game Pass,14246,284
2023-02-27,Premium Subscription,18453,364
2023-02-27,In-game Purchase,9623,170
2023-02-28,Game Pass,13664,312
2023-02-28,Premium Subscription,18387,344
2023-02-28,In-game Purchase,9848,191
2023-03-01,Game Pass,15412,350
2023-03-01,Premium Subscription,18901,364
2023-03-01,In-game Purchase,9739,206
2023-03-02,Game Pass,14269,243
2023-03-02,Premium Subscription,17183,403
2023-03-02,In-game Purchase,9120,172
2023-03-03,Game Pass,13644,228
2023-03-03,Premium Subscription,17292,323
2023-03-03,In-game Purchase,9142,174
2023-03-04,Game Pass,18624,422
2023-03-04,Premium Subscription,23468,490
2023-03-04,In-game Purchase,12045,223
2023-03-05,Game Pass,18477,413
2023-03-05,Premium Subscription,23493,396
2023-03-05,In-game Purchase,12358,245
2023-03-06,Game Pass,15122,296
2023-03-06,Premium Subscription,17205,323
2023-03-06,In-game Purchase,9169,192
2023-03-07,Game Pass,13714,292
2023-03-07,Premium Subscription,17123,390
2023-03-07,In-game Purchase,9321,160
2023-03-08,Game Pass,16361,349
2023-03-08,Premium Subscription,19635,473
2023-03-08,In-game Purchase,9344,202
2023-03-09,Game Pass,15026,262
2023-03-09,Premium Subscription,17348,394
2023-03-09,In-game Purchase,9815,175
2023-03-10,Game Pass,14234,338
2023-03-10,Premium Subscription,17570,368
2023-03-10,In-game Purchase,9934,205
2023-03-11,Game Pass,19779,370
2023-03-11,Premium Subscription,24021,489
2023-03-11,In-game Purchase,12869,290
2023-03-12,Game Pass,16326,343
2023-03-12,Premium Subscription,22363,532
2023-03-12,In-game Purchase,12799,307
2023-03-13,Game Pass,14117,333
2023-03-13,Premium Subscription,18540,367
2023-03-13,In-game Purchase,10215,223
2023-03-14,Game Pass,13540,242
2023-03-14,Premium Subscription,18653,434
2023-03-14,In-game Purchase,10105,171
2023-03-15,Game Pass,14737,260
2023-03-15,Premium Subscription,17643,295
2023-03-15,In-game Purchase,10036,194
2023-03-16,Game Pass,14697,308
2023-03-16,Premium Subscription,18932,342
2023-03-16,In-game Purchase,10057,192
2023-03-17,Game Pass,14864,346
2023-03-17,Premium Subscription,18523,440
2023-03-17,In-game Purchase,9563,183
2023-03-18,Game Pass,19575,401
2023-03-18,Premium Subscription,26241,565
2023-03-18,In-game Purchase,12758,276
2023-03-19,Game Pass,18736,425
2023-03-19,Premium Subscription,22573,415
2023-03-19,In-game Purchase,11692,223
2023-03-20,Game Pass,15220,258
2023-03-20,Premium Subscription,19050,372
2023-03-20,In-game Purchase,9177,157
2023-03-21,Game Pass,15062,302
2023-03-21,Premium Subscription,17676,330
2023-03-21,In-game Purchase,9762,233
2023-03-22,Game Pass,14121,317
2023-03-22,Premium Subscription,21329,361
2023-03-22,In-game Purchase,9698,205
2023-03-23,Game Pass,14236,342
2023-03-23,Premium Subscription,17740,434
2023-03-23,In-game Purchase,9617,190
2023-03-24,Game Pass,14898,264
2023-03-24,Premium Subscription,17156,317
2023-03-24,In-game Purchase,9966,212
2023-03-25,Game Pass,21235,484
2023-03-25,Premium Subscription,25153,608
2023-03-25,In-game Purchase,13093,321
2023-03-26,Game Pass,20546,346
2023-03-26,Premium Subscription,26088,451
2023-03-26,In-game Purchase,13000,227
2023-03-27,Game Pass,14689,292
2023-03-27,Premium Subscription,20010,481
2023-03-27,In-game Purchase,11146,213
2023-03-28,Game Pass,13514,333
2023-03-28,Premium Subscription,18532,321
2023-03-28,In-game Purchase,9574,205
2023-03-29,Game Pass,13466,334
2023-03-29,Premium Subscription,18274,304
2023-03-29,In-game Purchase,9111,213
2023-03-30,Game Pass,14924,260
2023-03-30,Premium Subscription,16807,352
2023-03-30,In-game Purchase,10603,212
2023-03-31,Game Pass,14613,269
2023-03-31,Premium Subscription,16978,323
2023-03-31,In-game Purchase,9835,169
2023-04-01,Game Pass,18693,379
2023-04-01,Premium Subscription,25192,472
2023-04-01,In-game Purchase,12360,265
2023-04-02,Game Pass,18978,352
2023-04-02,Premium Subscription,22597,436
2023-04-02,In-game Purchase,13428,279
2023-04-03,Game Pass,14398,311
2023-04-03,Premium Subscription,18564,388
2023-04-03,In-game Purchase,10816,255
2023-04-04,Game Pass,14814,260
2023-04-04,Premium Subscription,18003,311
2023-04-04,In-game Purchase,9382,173
2023-04-05,Game Pass,14699,278
2023-04-05,Premium Subscription,18686,318
2023-04-05,In-game Purchase,10348,219
2023-04-06,Game Pass,16009,361
2023-04-06,Premium Subscription,19801,376
2023-04-06,In-game Purchase,10943,191
2023-04-07,Game Pass,14587,252
2023-04-07,Premium Subscription,18801,443
2023-04-07,In-game Purchase,9977,237
2023-04-08,Game Pass,18052,449
2023-04-08,Premium Subscription,22890,552
2023-04-08,In-game Purchase,12394,219
2023-04-09,Game Pass,20142,443
2023-04-09,Premium Subscription,24751,557
2023-04-09,In-game Purchase,14110,238
2023-04-10,Game Pass,15289,343
2023-04-10,Premium Subscription,18531,423
2023-04-10,In-game Purchase,10341,176
2023-04-11,Game Pass,14934,371
2023-04-11,Premium Subscription,18191,410
2023-04-11,In-game Purchase,10853,212
2023-04-12,Game Pass,16500,388
2023-04-12,Premium Subscription,20108,368
2023-04-12,In-game Purchase,9499,192
2023-04-13,Game Pass,13539,247
2023-04-13,Premium Subscription,18777,317
2023-04-13,In-game Purchase,9849,200
2023-04-14,Game Pass,15650,305
2023-04-14,Premium Subscription,19966,350
2023-04-14,In-game Purchase,10387,189
2023-04-15,Game Pass,19256,352
2023-04-15,Premium Subscription,24721,513
2023-04-15,In-game Purchase,13129,252
2023-04-16,Game Pass,19255,373
2023-04-16,Premium Subscription,24427,479
2023-04-16,In-game Purchase,12058,282
2023-04-17,Game Pass,16169,336
2023-04-17,Premium Subscription,17661,332
2023-04-17,In-game Purchase,9614,183
2023-04-18,Game Pass,14646,282
2023-04-18,Premium Subscription,19565,420
2023-04-18,In-game Purchase,10722,234
2023-04-19,Game Pass,15509,352
2023-04-19,Premium Subscription,17592,308
2023-04-19,In-game Purchase,10078,169
2023-04-20,Game Pass,16718,383
2023-04-20,Premium Subscription,20040,481
2023-04-20,In-game Purchase,10026,183
2023-04-21,Game Pass,15433,275
2023-04-21,Premium Subscription,19102,454
2023-04-21,In-game Purchase,10326,187
2023-04-22,Game Pass,18916,342
2023-04-22,Premium Subscription,25242,471
2023-04-22,In-game Purchase,13752,316
2023-04-23,Game Pass,16808,339
2023-04-23,Premium Subscription,24805,554
2023-04-23,In-game Purchase,13188,251
2023-04-24,Game Pass,15776,378
2023-04-24,Premium Subscription,18454,404
2023-04-24,In-game Purchase,9283,159
2023-04-25,Game Pass,15677,376
2023-04-25,Premium Subscription,19471,362
2023-04-25,In-game Purchase,10064,172
2023-04-26,Game Pass,15280,343
2023-04-26,Premium Subscription,18243,418
2023-04-26,In-game Purchase,10642,265
2023-04-27,Game Pass,13737,253
2023-04-27,Premium Subscription,18168,372
2023-04-27,In-game Purchase,10347,210
2023-04-28,Game Pass,15053,299
2023-04-28,Premium Subscription,19835,354
2023-04-28,In-game Purchase,9274,156
2023-04-29,Game Pass,18812,363
2023-04-29,Premium Subscription,25072,439
2023-04-29,In-game Purchase,13528,273
2023-04-30,Game Pass,19968,409
2023-04-30,Premium Subscription,26808,481
2023-04-30,In-game Purchase,12632,268
2023-05-01,Game Pass,13374,276
2023-05-01,Premium Subscription,18239,399
2023-05-01,In-game Purchase,9686,181
2023-05-02,Game Pass,13467,256
2023-05-02,Premium Subscription,18439,418
2023-05-02,In-game Purchase,11052,209
2023-05-03,Game Pass,14060,240
2023-05-03,Premium Subscription,18212,371
2023-05-03,In-game Purchase,9900,224
2023-05-04,Game Pass,14246,270
2023-05-04,Premium Subscription,17872,360
2023-05-04,In-game Purchase,10235,218
2023-05-05,Game Pass,15294,259
2023-05-05,Premium Subscription,17412,406
2023-05-05,In-game Purchase,9629,200
2023-05-06,Game Pass,19394,383
2023-05-06,Premium Subscription,24707,503
2023-05-06,In-game Purchase,11334,257
2023-05-07,Game Pass,18748,397
2023-05-07,Premium Subscription,23777,496
2023-05-07,In-game Purchase,13131,297
2023-05-08,Game Pass,14716,258
2023-05-08,Premium Subscription,16959,396
2023-05-08,In-game Purchase,10000,173
2023-05-09,Game Pass,14755,333
2023-05-09,Premium Subscription,18621,446
2023-05-09,In-game Purchase,9996,180
2023-05-10,Game Pass,14665,272
2023-05-10,Premium Subscription,18724,386
2023-05-10,In-game Purchase,10355,224
2023-05-11,Game Pass,13978,235
2023-05-11,Premium Subscription,18728,359
2023-05-11,In-game Purchase,10404,177
2023-05-12,Game Pass,14494,330
2023-05-12,Premium Subscription,17509,434
2023-05-12,In-game Purchase,9868,217
2023-05-13,Game Pass,19331,461
2023-05-13,Premium Subscription,25631,543
2023-05-13,In-game Purchase,12745,261
2023-05-14,Game Pass,18899,369
2023-05-14,Premium Subscription,24551,437
2023-05-14,In-game Purchase,13992,288
2023-05-15,Game Pass,15291,344
2023-05-15,Premium Subscription,18262,429
2023-05-15,In-game Purchase,9456,219
2023-05-16,Game Pass,14763,306
2023-05-16,Premium Subscription,19058,419
2023-05-16,In-game Purchase,9330,231
2023-05-17,Game Pass,14495,300
2023-05-17,Premium Subscription,17676,394
2023-05-17,In-game Purchase,9233,194
2023-05-18,Game Pass,14914,265
2023-05-18,Premium Subscription,17063,346
2023-05-18,In-game Purchase,9565,203
2023-05-19,Game Pass,15548,261
2023-05-19,Premium Subscription,18579,328
2023-05-19,In-game Purchase,9970,203
2023-05-20,Game Pass,20364,454
2023-05-20,Premium Subscription,23117,405
2023-05-20,In-game Purchase,13362,308
2023-05-21,Game Pass,18215,336
2023-05-21,Premium Subscription,23462,488
2023-05-21,In-game Purchase,12832,276
2023-05-22,Game Pass,13920,341
2023-05-22,Premium Subscription,18844,337
2023-05-22,In-game Purchase,10056,184
2023-05-23,Game Pass,14518,288
2023-05-23,Premium Subscription,19413,471
2023-05-23,In-game Purchase,9842,172
2023-05-24,Game Pass,14910,317
2023-05-24,Premium Subscription,16294,285
2023-05-24,In-game Purchase,9602,186
2023-05-25,Game Pass,13279,254
2023-05-25,Premium Subscription,17918,374
2023-05-25,In-game Purchase,9766,184
2023-05-26,Game Pass,14824,258
2023-05-26,Premium Subscription,18141,306
2023-05-26,In-game Purchase,9544,186
2023-05-27,Game Pass,19570,391
2023-05-27,Premium Subscription,24997,469
2023-05-27,In-game Purchase,12255,215
2023-05-28,Game Pass,17465,300
2023-05-28,Premium Subscription,23180,558
2023-05-28,In-game Purchase,12818,244
2023-05-29,Game Pass,13947,323
2023-05-29,Premium Subscription,17791,433
2023-05-29,In-game Purchase,9841,195
2023-05-30,Game Pass,15001,292
2023-05-30,Premium Subscription,18511,417
2023-05-30,In-game Purchase,10306,233
2023-05-31,Game Pass,13615,310
2023-05-31,Premium Subscription,17179,297
2023-05-31,In-game Purchase,9092,163
2023-06-01,Game Pass,14005,343
2023-06-01,Premium Subscription,17248,395
2023-06-01,In-game Purchase,9772,168
2023-06-02,Game Pass,14611,316
2023-06-02,Premium Subscription,18380,334
2023-06-02,In-game Purchase,9608,193
2023-06-03,Game Pass,20568,373
2023-06-03,Premium Subscription,22651,422
2023-06-03,In-game Purchase,11940,250
2023-06-04,Game Pass,19804,389
2023-06-04,Premium Subscription,24211,451
2023-06-04,In-game Purchase,11255,195
2023-06-05,Game Pass,14425,242
2023-06-05,Premium Subscription,17183,327
2023-06-05,In-game Purchase,8950,187
2023-06-06,Game Pass,13922,294
2023-06-06,Premium Subscription,17628,307
2023-06-06,In-game Purchase,8867,158
2023-06-07,Game Pass,14551,281
2023-06-07,Premium Subscription,18584,325
2023-06-07,In-game Purchase,8878,182
2023-06-08,Game Pass,13240,243
2023-06-08,Premium Subscription,16569,347
2023-06-08,In-game Purchase,9261,192
2023-06-09,Game Pass,14456,335
2023-06-09,Premium Subscription,15581,366
2023-06-09,In-game Purchase,8940,159
2023-06-10,Game Pass,17139,321
2023-06-10,Premium Subscription,20207,429
2023-06-10,In-game Purchase,11437,268
2023-06-11,Game Pass,17294,323
2023-06-11,Premium Subscription,22665,561
2023-06-11,In-game Purchase,12588,260
2023-06-12,Game Pass,13706,258
2023-06-12,Premium Subscription,16815,370
2023-06-12,In-game Purchase,8397,146
2023-06-13,Game Pass,13997,274
2023-06-13,Premium Subscription,18026,444
2023-06-13,In-game Purchase,8918,196
2023-06-14,Game Pass,13477,225
2023-06-14,Premium Subscription,16911,378
2023-06-14,In-game Purchase,8651,145
2023-06-15,Game Pass,13404,259
2023-06-15,Premium Subscription,17892,423
2023-06-15,In-game Purchase,9133,193
2023-06-16,Game Pass,12909,224
2023-06-16,Premium Subscription,19487,367
2023-06-16,In-game Purchase,8825,162
2023-06-17,Game Pass,18674,365
2023-06-17,Premium Subscription,22075,380
2023-06-17,In-game Purchase,12239,301
2023-06-18,Game Pass,17575,332
2023-06-18,Premium Subscription,20001,380
2023-06-18,In-game Purchase,11808,201
2023-06-19,Game Pass,13804,280
2023-06-19,Premium Subscription,15129,306
2023-06-19,In-game Purchase,9641,225
2023-06-20,Game Pass,13637,280
2023-06-20,Premium Subscription,17611,322
2023-06-20,In-game Purchase,9633,206
2023-06-21,Game Pass,12965,263
2023-06-21,Premium Subscription,17378,387
2023-06-21,In-game Purchase,9631,229
2023-06-22,Game Pass,13217,230
2023-06-22,Premium Subscription,16091,288
2023-06-22,In-game Purchase,9188,225
2023-06-23,Game Pass,13979,244
2023-06-23,Premium Subscription,18529,401
2023-06-23,In-game Purchase,8694,215
2023-06-24,Game Pass,18946,339
2023-06-24,Premium Subscription,21069,391
2023-06-24,In-game Purchase,11662,256
2023-06-25,Game Pass,16486,290
2023-06-25,Premium Subscription,20438,428
2023-06-25,In-game Purchase,11782,278
2023-06-26,Game Pass,12465,271
2023-06-26,Premium Subscription,17492,398
2023-06-26,In-game Purchase,9139,207
2023-06-27,Game Pass,14224,289
2023-06-27,Premium Subscription,15234,268
2023-06-27,In-game Purchase,8646,210
2023-06-28,Game Pass,12882,293
2023-06-28,Premium Subscription,17561,312
2023-06-28,In-game Purchase,8798,162
2023-06-29,Game Pass,13265,284
2023-06-29,Premium Subscription,17529,311
2023-06-29,In-game Purchase,8713,217
2023-06-30,Game Pass,13513,295
2023-06-30,Premium Subscription,16010,371
2023-06-30,In-game Purchase,8992,203
2023-07-01,Game Pass,16568,377
2023-07-01,Premium Subscription,20574,386
2023-07-01,In-game Purchase,10688,198
2023-07-02,Game Pass,17450,428
2023-07-02,Premium Subscription,22033,457
2023-07-02,In-game Purchase,11498,281
2023-07-03,Game Pass,13181,220
2023-07-03,Premium Subscription,16046,272
2023-07-03,In-game Purchase,8660,148
2023-07-04,Game Pass,13340,254
2023-07-04,Premium Subscription,15741,378
2023-07-04,In-game Purchase,8947,194
2023-07-05,Game Pass,12772,229
2023-07-05,Premium Subscription,16180,393
2023-07-05,In-game Purchase,8734,195
2023-07-06,Game Pass,12871,283
2023-07-06,Premium Subscription,17430,394
2023-07-06,In-game Purchase,8951,203
2023-07-07,Game Pass,12444,239
2023-07-07,Premium Subscription,18208,328
2023-07-07,In-game Purchase,8683,153
2023-07-08,Game Pass,18057,429
2023-07-08,Premium Subscription,19663,454
2023-07-08,In-game Purchase,11622,222
2023-07-09,Game Pass,16401,283
2023-07-09,Premium Subscription,20814,422
2023-07-09,In-game Purchase,11122,191
2023-07-10,Game Pass,13276,246
2023-07-10,Premium Subscription,15639,283
2023-07-10,In-game Purchase,9492,170
2023-07-11,Game Pass,11429,278
2023-07-11,Premium Subscription,15641,350
2023-07-11,In-game Purchase,8105,140
2023-07-12,Game Pass,12993,277
2023-07-12,Premium Subscription,17398,401
2023-07-12,In-game Purchase,8924,153
2023-07-13,Game Pass,12478,247
2023-07-13,Premium Subscription,15601,362
2023-07-13,In-game Purchase,8478,199
2023-07-14,Game Pass,13331,245
2023-07-14,Premium Subscription,15750,377
2023-07-14,In-game Purchase,8781,182
2023-07-15,Game Pass,16214,340
2023-07-15,Premium Subscription,21519,520
2023-07-15,In-game Purchase,10817,204
2023-07-16,Game Pass,15867,277
2023-07-16,Premium Subscription,20601,407
2023-07-16,In-game Purchase,11653,279
2023-07-17,Game Pass,12598,291
2023-07-17,Premium Subscription,16674,349
2023-07-17,In-game Purchase,7608,154
2023-07-18,Game Pass,13025,316
2023-07-18,Premium Subscription,16689,294
2023-07-18,In-game Purchase,8367,180
2023-07-19,Game Pass,11823,269
2023-07-19,Premium Subscription,15718,281
2023-07-19,In-game Purchase,8719,198
2023-07-20,Game Pass,12982,230
2023-07-20,Premium Subscription,15815,313
2023-07-20,In-game Purchase,8309,204
2023-07-21,Game Pass,12197,209
2023-07-21,Premium Subscription,15420,317
2023-07-21,In-game Purchase,7883,163
2023-07-22,Game Pass,17765,431
2023-07-22,Premium Subscription,20210,368
2023-07-22,In-game Purchase,10960,253
2023-07-23,Game Pass,14885,281
2023-07-23,Premium Subscription,18044,315
2023-07-23,In-game Purchase,10906,256
2023-07-24,Game Pass,11590,214
2023-07-24,Premium Subscription,13868,233
2023-07-24,In-game Purchase,7565,159
2023-07-25,Game Pass,11810,241
2023-07-25,Premium Subscription,15642,312
2023-07-25,In-game Purchase,7939,172
2023-07-26,Game Pass,11989,275
2023-07-26,Premium Subscription,14836,305
2023-07-26,In-game Purchase,8120,163
2023-07-27,Game Pass,12261,260
2023-07-27,Premium Subscription,15384,273
2023-07-27,In-game Purchase,7717,131
2023-07-28,Game Pass,11850,234
2023-07-28,Premium Subscription,15578,274
2023-07-28,In-game Purchase,8505,149
2023-07-29,Game Pass,15682,371
2023-07-29,Premium Subscription,18665,350
2023-07-29,In-game Purchase,10450,192
2023-07-30,Game Pass,15757,268
2023-07-30,Premium Subscription,19760,333
2023-07-30,In-game Purchase,11351,242
2023-07-31,Game Pass,12048,287
2023-07-31,Premium Subscription,14596,350
2023-07-31,In-game Purchase,7727,159
2023-08-01,Game Pass,12446,261
2023-08-01,Premium Subscription,14577,272
2023-08-01,In-game Purchase,8457,173
2023-08-02,Game Pass,12562,259
2023-08-02,Premium Subscription,14702,301
2023-08-02,In-game Purchase,8222,160
2023-08-03,Game Pass,12446,282
2023-08-03,Premium Subscription,15874,377
2023-08-03,In-game Purchase,8314,198
2023-08-04,Game Pass,11697,291
2023-08-04,Premium Subscription,14795,311
2023-08-04,In-game Purchase,8271,141
2023-08-05,Game Pass,14462,295
2023-08-05,Premium Subscription,17362,353
2023-08-05,In-game Purchase,10615,189
2023-08-06,Game Pass,15670,333
2023-08-06,Premium Subscription,21496,511
2023-08-06,In-game Purchase,9680,184
2023-08-07,Game Pass,11324,227
2023-08-07,Premium Subscription,15411,263
2023-08-07,In-game Purchase,7479,152
2023-08-08,Game Pass,12108,223
2023-08-08,Premium Subscription,15285,290
2023-08-08,In-game Purchase,8140,135
2023-08-09,Game Pass,11801,206
2023-08-09,Premium Subscription,14411,252
2023-08-09,In-game Purchase,6834,157
2023-08-10,Game Pass,12136,299
2023-08-10,Premium Subscription,15407,342
2023-08-10,In-game Purchase,8181,172
2023-08-11,Game Pass,11517,230
2023-08-11,Premium Subscription,14800,284
2023-08-11,In-game Purchase,7841,141
2023-08-12,Game Pass,14562,265
2023-08-12,Premium Subscription,17524,340
2023-08-12,In-game Purchase,9674,187
2023-08-13,Game Pass,13785,272
2023-08-13,Premium Subscription,20089,422
2023-08-13,In-game Purchase,10050,185
2023-08-14,Game Pass,10604,197
2023-08-14,Premium Subscription,13818,251
2023-08-14,In-game Purchase,7517,152
2023-08-15,Game Pass,11010,270
2023-08-15,Premium Subscription,14480,321
2023-08-15,In-game Purchase,7473,140
2023-08-16,Game Pass,11779,228
2023-08-16,Premium Subscription,13973,322
2023-08-16,In-game Purchase,7971,141
2023-08-17,Game Pass,10999,271
2023-08-17,Premium Subscription,14932,319
2023-08-17,In-game Purchase,8535,148
2023-08-18,Game Pass,10766,200
2023-08-18,Premium Subscription,14570,284
2023-08-18,In-game Purchase,7127,124
2023-08-19,Game Pass,14479,256
2023-08-19,Premium Subscription,19256,383
2023-08-19,In-game Purchase,9350,196
2023-08-20,Game Pass,15036,348
2023-08-20,Premium Subscription,17006,303
2023-08-20,In-game Purchase,10524,245
2023-08-21,Game Pass,11436,205
2023-08-21,Premium Subscription,12619,264
2023-08-21,In-game Purchase,6875,157
2023-08-22,Game Pass,10486,234
2023-08-22,Premium Subscription,14432,274
2023-08-22,In-game Purchase,7820,177
2023-08-23,Game Pass,10626,251
2023-08-23,Premium Subscription,14309,243
2023-08-23,In-game Purchase,7733,163
2023-08-24,Game Pass,9867,195
2023-08-24,Premium Subscription,14643,275
2023-08-24,In-game Purchase,7332,139
2023-08-25,Game Pass,10308,174
2023-08-25,Premium Subscription,14596,323
2023-08-25,In-game Purchase,6944,159
2023-08-26,Game Pass,14568,243
2023-08-26,Premium Subscription,17303,288
2023-08-26,In-game Purchase,9045,167
2023-08-27,Game Pass,14539,303
2023-08-27,Premium Subscription,17467,430
2023-08-27,In-game Purchase,8764,152
2023-08-28,Game Pass,11275,225
2023-08-28,Premium Subscription,13441,299
2023-08-28,In-game Purchase,6904,123
2023-08-29,Game Pass,11505,200
2023-08-29,Premium Subscription,13546,253
2023-08-29,In-game Purchase,6891,136
