date,product,region,sales
2023-02-27,Mobile,Canada,34612
2023-02-27,Tablet,Canada,18461
2023-02-28,Smartwatch,India,10602
2023-02-28,Mobile,USA,30022
2023-03-01,Tablet,USA,31635
2023-03-01,Smartwatch,Canada,2061
2023-03-01,Camera,Germany,36626
2023-03-01,Laptop,Canada,38146
2023-03-01,Tablet,India,47879
2023-03-02,Headphones,India,33678
2023-03-02,Smartwatch,USA,31519
2023-03-03,Smartwatch,Germany,49156
2023-03-03,Headphones,Germany,23613
2023-03-03,Laptop,USA,48906
2023-03-03,Mobile,Germany,13895
2023-03-04,Tablet,Canada,36876
2023-03-04,Tablet,Germany,3161
2023-03-04,Smartwatch,Canada,16056
2023-03-04,Laptop,USA,6085
2023-03-05,Laptop,UK,46180
2023-03-05,Headphones,UK,31993
2023-03-05,Headphones,India,29746
2023-03-05,Camera,Canada,43012
2023-03-06,Headphones,USA,12349
2023-03-06,Camera,India,35766
2023-03-07,Tablet,Canada,17938
2023-03-07,Mobile,Germany,39971
2023-03-07,Smartwatch,Canada,14148
2023-03-07,Smartwatch,USA,14091
2023-03-08,Tablet,USA,5533
2023-03-08,Laptop,Canada,28759
2023-03-08,Smartwatch,Canada,39285
2023-03-08,Camera,USA,29600
2023-03-09,Camera,India,30469
2023-03-09,Laptop,India,27539
2023-03-09,Tablet,UK,13660
2023-03-09,Headphones,India,22291
2023-03-10,Headphones,Canada,18150
2023-03-10,Smartwatch,USA,48807
2023-03-10,Laptop,India,21373
2023-03-10,Tablet,USA,39199
2023-03-11,Headphones,Canada,16778
2023-03-11,Headphones,USA,39790
2023-03-11,Camera,UK,46501
2023-03-12,Smartwatch,India,48303
2023-03-12,Tablet,India,18887
2023-03-12,Tablet,India,10849
2023-03-13,Tablet,Germany,3359
2023-03-13,Tablet,Germany,13601
2023-03-13,Laptop,Canada,22327
2023-03-14,Smartwatch,UK,46642
2023-03-14,Laptop,India,49871
2023-03-14,Smartwatch,India,32917
2023-03-14,Laptop,Germany,42437
2023-03-14,Tablet,Germany,49212
2023-03-15,Headphones,Germany,20277
2023-03-15,Laptop,India,5070
2023-03-16,Mobile,Germany,31104
2023-03-16,Headphones,Germany,44232
2023-03-16,Headphones,Canada,42171
2023-03-17,Laptop,USA,19448
2023-03-17,Headphones,India,33813
2023-03-17,Headphones,India,17492
2023-03-17,Camera,USA,14081
2023-03-17,Headphones,Germany,40576
2023-03-18,Camera,India,1112
2023-03-18,Headphones,Canada,16950
2023-03-18,Smartwatch,UK,42498
2023-03-18,Tablet,UK,29937
2023-03-18,Camera,USA,9901
2023-03-19,Headphones,India,22422
2023-03-19,Smartwatch,India,5996
2023-03-19,Headphones,Canada,22672
2023-03-19,Headphones,USA,25363
2023-03-19,Smartwatch,India,34733
2023-03-20,Mobile,India,19853
2023-03-20,Tablet,UK,38746
2023-03-20,Camera,Germany,16975
2023-03-21,Tablet,UK,17577
2023-03-21,Mobile,India,43765
2023-03-21,Smartwatch,USA,15006
2023-03-21,Smartwatch,UK,31802
2023-03-22,Tablet,UK,19972
2023-03-22,Headphones,Germany,32353
2023-03-22,Tablet,Germany,49237
2023-03-22,Headphones,UK,6589
2023-03-23,Mobile,Canada,37210
2023-03-23,Laptop,Germany,23320
2023-03-23,Camera,Canada,23367
2023-03-23,Smartwatch,India,8289
2023-03-24,Headphones,Germany,18555
2023-03-24,Laptop,Germany,19167
2023-03-24,Smartwatch,Canada,40224
2023-03-24,Headphones,Germany,40074
2023-03-25,Mobile,Germany,29738
2023-03-25,Smartwatch,India,36963
2023-03-25,Headphones,USA,2398
2023-03-25,Laptop,Germany,10000
2023-03-26,Tablet,UK,12396
2023-03-26,Laptop,India,36143
2023-03-26,Headphones,Canada,5953
2023-03-26,Laptop,USA,48307
2023-03-26,Laptop,Canada,10977
2023-03-27,Tablet,Germany,3328
2023-03-27,Headphones,USA,49753
2023-03-27,Tablet,UK,45065
2023-03-27,Headphones,UK,43714
2023-03-27,Mobile,Canada,25554
2023-03-28,Headphones,USA,25898
2023-03-28,Smartwatch,India,4238
2023-03-28,Camera,India,3282
2023-03-29,Mobile,USA,41857
2023-03-29,Mobile,USA,8137
2023-03-29,Camera,USA,30876
2023-03-29,Mobile,USA,14906
2023-03-29,Camera,UK,8558
2023-03-30,Smartwatch,USA,38491
2023-03-30,Laptop,Canada,42250
2023-03-30,Headphones,Germany,41781
2023-03-30,Mobile,Germany,28636
2023-03-30,Camera,Germany,10827
2023-03-31,Headphones,USA,26941
2023-03-31,Laptop,Germany,2217
2023-04-01,Tablet,UK,24519
2023-04-01,Mobile,UK,10599
2023-04-01,Mobile,Germany,48180
2023-04-02,Tablet,UK,29554
2023-04-02,Tablet,UK,23290
2023-04-02,Headphones,Germany,8120
2023-04-02,Smartwatch,Canada,46071
2023-04-03,Tablet,India,28985
2023-04-03,Mobile,Canada,18983
2023-04-03,Camera,USA,47248
2023-04-03,Smartwatch,Germany,16306
2023-04-03,Tablet,UK,40468
2023-04-04,Laptop,Canada,8343
2023-04-04,Headphones,India,24103
2023-04-05,Mobile,USA,37175
2023-04-05,Camera,UK,49500
2023-04-05,Headphones,UK,29896
2023-04-05,Laptop,Germany,4494
2023-04-06,Camera,Germany,20135
2023-04-06,Camera,Canada,29852
2023-04-06,Smartwatch,Germany,13309
2023-04-07,Laptop,Canada,42462
2023-04-07,Camera,India,12139
2023-04-07,Mobile,Canada,32303
2023-04-07,Laptop,UK,42361
2023-04-08,Tablet,Germany,14017
2023-04-08,Camera,Germany,45919
2023-04-08,Smartwatch,UK,9317
2023-04-08,Mobile,Germany,33917
2023-04-08,Camera,Germany,35406
2023-04-09,Tablet,UK,3759
2023-04-09,Camera,UK,27044
2023-04-09,Headphones,Canada,22595
2023-04-10,Tablet,Germany,8509
2023-04-10,Smartwatch,USA,13794
2023-04-11,Smartwatch,UK,11584
2023-04-11,Smartwatch,USA,12333
2023-04-11,Laptop,Germany,4459
2023-04-12,Mobile,USA,20093
2023-04-12,Tablet,Canada,44413
2023-04-12,Headphones,Germany,17826
2023-04-12,Camera,Germany,15752
2023-04-13,Mobile,USA,46480
2023-04-13,Tablet,Germany,6877
2023-04-13,Smartwatch,USA,27981
2023-04-13,Laptop,UK,8170
2023-04-14,Camera,Germany,31157
2023-04-14,Smartwatch,Germany,40498
2023-04-14,Camera,USA,11529
2023-04-15,Headphones,Germany,47437
2023-04-15,Laptop,Germany,40864
2023-04-15,Smartwatch,India,13459
2023-04-15,Tablet,India,23794
2023-04-15,Mobile,India,23654
2023-04-16,Headphones,Germany,44426
2023-04-16,Camera,USA,42588
2023-04-16,Headphones,USA,39418
2023-04-16,Headphones,Germany,42602
2023-04-16,Smartwatch,USA,24628
2023-04-17,Mobile,India,7305
2023-04-17,Headphones,India,46301
2023-04-17,Laptop,USA,30514
2023-04-18,Camera,USA,44159
2023-04-18,Camera,Germany,16685
2023-04-18,Smartwatch,Canada,34192
2023-04-18,Tablet,UK,1302
2023-04-19,Laptop,UK,49754
2023-04-19,Tablet,USA,12585
2023-04-19,Headphones,UK,23344
2023-04-20,Tablet,Germany,38595
2023-04-20,Mobile,USA,33625
2023-04-20,Mobile,Germany,4811
2023-04-21,Smartwatch,Canada,39104
2023-04-21,Mobile,Canada,36163
2023-04-21,Laptop,Germany,15927
2023-04-22,Laptop,UK,47445
2023-04-22,Camera,India,5199
2023-04-23,Smartwatch,Germany,24927
2023-04-23,Mobile,India,22762
2023-04-23,Camera,USA,49904
2023-04-23,Mobile,India,11409
2023-04-23,Camera,USA,47012
2023-04-24,Tablet,Germany,35433
2023-04-24,Camera,USA,25965
2023-04-24,Tablet,India,18770
2023-04-24,Laptop,UK,4355
2023-04-24,Smartwatch,UK,23038
2023-04-25,Smartwatch,USA,33772
2023-04-25,Headphones,Canada,21466
2023-04-25,Smartwatch,Canada,11638
2023-04-25,Headphones,India,25086
2023-04-25,Headphones,India,22487
2023-04-26,Headphones,UK,6197
2023-04-26,Laptop,Canada,44224
2023-04-26,Camera,UK,1080
2023-04-26,Tablet,India,5591
2023-04-26,Laptop,Germany,34188
2023-04-27,Camera,Canada,6683
2023-04-27,Tablet,Canada,8565
2023-04-28,Camera,USA,21709
2023-04-28,Mobile,USA,23267
2023-04-29,Headphones,India,36992
2023-04-29,Smartwatch,Germany,8539
2023-04-29,Mobile,USA,31602
2023-04-29,Laptop,UK,28046
2023-04-29,Tablet,USA,31902
2023-04-30,Camera,UK,14985
2023-04-30,Mobile,Germany,35904
2023-05-01,Headphones,USA,44969
2023-05-01,Camera,Germany,29863
2023-05-02,Camera,Germany,44755
2023-05-02,Headphones,India,13023
2023-05-02,Headphones,USA,6121
2023-05-02,Camera,Germany,3597
2023-05-02,Mobile,Canada,44818
2023-05-03,Laptop,India,6228
2023-05-03,Smartwatch,Canada,28664
2023-05-03,Smartwatch,India,41768
2023-05-03,Camera,UK,27282
2023-05-04,Smartwatch,Germany,27157
2023-05-04,Laptop,USA,30826
2023-05-04,Tablet,UK,16004
2023-05-04,Headphones,USA,11524
2023-05-05,Headphones,Canada,41940
2023-05-05,Mobile,USA,35658
2023-05-06,Laptop,Germany,21403
2023-05-06,Laptop,Canada,41317
2023-05-07,Camera,Canada,16387
2023-05-07,Headphones,Germany,44363
2023-05-07,Tablet,Canada,32569
2023-05-07,Headphones,India,40478
2023-05-08,Laptop,Canada,17198
2023-05-08,Mobile,Germany,37041
2023-05-08,Smartwatch,Canada,49852
2023-05-08,Headphones,Canada,2990
2023-05-09,Smartwatch,Canada,44584
2023-05-09,Mobile,India,48470
2023-05-09,Laptop,USA,30714
2023-05-09,Tablet,USA,25692
2023-05-09,Smartwatch,Canada,6409
2023-05-10,Laptop,India,34016
2023-05-10,Camera,Canada,4590
2023-05-11,Mobile,Canada,30365
2023-05-11,Headphones,USA,3798
2023-05-11,Headphones,Germany,20181
2023-05-12,Mobile,UK,27269
2023-05-12,Mobile,Canada,3555
2023-05-13,Tablet,India,42808
2023-05-13,Tablet,India,26153
2023-05-13,Tablet,India,14028
2023-05-14,Camera,India,28526
2023-05-14,Mobile,Canada,32734
2023-05-14,Smartwatch,UK,38505
2023-05-14,Headphones,USA,44247
2023-05-15,Tablet,Canada,26881
2023-05-15,Laptop,Canada,7171
2023-05-15,Tablet,Germany,31531
2023-05-16,Headphones,Germany,45575
2023-05-16,Mobile,Canada,10192
2023-05-16,Camera,USA,7234
2023-05-16,Camera,India,32821
2023-05-16,Laptop,Canada,32199
2023-05-17,Smartwatch,India,48745
2023-05-17,Headphones,India,29127
2023-05-17,Tablet,Canada,15317
2023-05-17,Smartwatch,UK,45889
2023-05-17,Camera,USA,36417
2023-05-18,Headphones,India,29803
2023-05-18,Tablet,Canada,22810
2023-05-18,Tablet,Canada,30574
2023-05-19,Headphones,Canada,11803
2023-05-19,Laptop,USA,36746
2023-05-20,Headphones,UK,21538
2023-05-20,Headphones,USA,4908
2023-05-21,Smartwatch,Canada,47248
2023-05-21,Mobile,India,25746
2023-05-21,Headphones,USA,7490
2023-05-21,Headphones,USA,42130
2023-05-21,Tablet,Canada,38825
2023-05-22,Tablet,USA,25991
2023-05-22,Camera,India,28157
2023-05-22,Camera,India,2607
2023-05-22,Laptop,Canada,34377
2023-05-23,Headphones,Germany,22748
2023-05-23,Smartwatch,India,26632
2023-05-23,Tablet,Canada,5113
2023-05-23,Smartwatch,India,12972
2023-05-23,Laptop,USA,36813
2023-05-24,Mobile,Germany,30151
2023-05-24,Mobile,USA,22506
2023-05-24,Laptop,India,34294
2023-05-25,Tablet,Canada,41729
2023-05-25,Mobile,UK,4434
2023-05-25,Smartwatch,Germany,33942
2023-05-26,Laptop,Canada,40436
2023-05-26,Camera,USA,38625
2023-05-27,Headphones,UK,33348
2023-05-27,Laptop,USA,10701
2023-05-27,Mobile,USA,25375
2023-05-28,Laptop,Canada,9068
2023-05-28,Laptop,Canada,5462
2023-05-28,Mobile,USA,39875
2023-05-28,Camera,UK,37338
2023-05-29,Headphones,UK,33966
2023-05-29,Headphones,USA,16494
2023-05-29,Tablet,Germany,30549
2023-05-29,Mobile,India,41214
2023-05-29,Smartwatch,Germany,39440
2023-05-30,Smartwatch,USA,30589
2023-05-30,Camera,India,40979
2023-05-30,Camera,India,23484
2023-05-31,Mobile,Canada,14843
2023-05-31,Smartwatch,UK,39718
2023-06-01,Laptop,UK,39614
2023-06-01,Smartwatch,USA,41766
2023-06-02,Smartwatch,Canada,16347
2023-06-02,Laptop,UK,15469
2023-06-02,Laptop,Canada,8594
2023-06-03,Laptop,USA,25467
2023-06-03,Mobile,Germany,25762
2023-06-03,Camera,USA,31062
2023-06-03,Laptop,Canada,34076
2023-06-04,Headphones,USA,28038
2023-06-04,Camera,UK,34243
2023-06-04,Camera,USA,15981
2023-06-04,Smartwatch,Canada,25817
2023-06-04,Smartwatch,India,21384
2023-06-05,Headphones,UK,25421
2023-06-05,Laptop,USA,34394
2023-06-05,Tablet,USA,25136
2023-06-05,Headphones,India,24687
2023-06-06,Mobile,USA,47296
2023-06-06,Laptop,Canada,14521
2023-06-06,Tablet,Canada,1177
2023-06-06,Camera,India,3474
2023-06-07,Tablet,UK,36004
2023-06-07,Smartwatch,India,15062
2023-06-07,Tablet,India,25092
2023-06-08,Headphones,Germany,17762
2023-06-08,Headphones,UK,4916
2023-06-08,Tablet,USA,14249
2023-06-09,Mobile,Canada,39190
2023-06-09,Mobile,Germany,15464
2023-06-09,Smartwatch,India,21879
2023-06-09,Tablet,Canada,36002
2023-06-09,Headphones,India,36404
2023-06-10,Mobile,Germany,5876
2023-06-10,Camera,Canada,11783
2023-06-10,Headphones,India,45858
2023-06-11,Tablet,UK,29765
2023-06-11,Smartwatch,Germany,34294
2023-06-12,Smartwatch,Germany,5322
2023-06-12,Laptop,Canada,28207
2023-06-12,Smartwatch,Canada,23950
2023-06-12,Laptop,Canada,18208
2023-06-13,Laptop,India,10833
2023-06-13,Laptop,Germany,2819
2023-06-13,Camera,India,19335
2023-06-13,Camera,UK,45120
2023-06-14,Camera,USA,46921
2023-06-14,Laptop,USA,5346
2023-06-14,Tablet,India,22066
2023-06-14,Smartwatch,Germany,40862
2023-06-14,Laptop,Canada,45043
2023-06-15,Tablet,Canada,12215
2023-06-15,Laptop,Germany,35381
2023-06-15,Smartwatch,UK,31225
2023-06-15,Tablet,UK,7507
2023-06-15,Mobile,UK,34143
2023-06-16,Tablet,USA,41229
2023-06-16,Laptop,USA,36080
2023-06-16,Tablet,India,47930
2023-06-17,Tablet,UK,17979
2023-06-17,Headphones,Canada,11584
2023-06-17,Camera,UK,10474
2023-06-17,Headphones,Germany,48702
2023-06-17,Laptop,India,5438
2023-06-18,Smartwatch,Germany,7288
2023-06-18,Mobile,Canada,19099
2023-06-18,Headphones,USA,46166
2023-06-18,Headphones,USA,21141
2023-06-18,Camera,Germany,21123
2023-06-19,Headphones,USA,47983
2023-06-19,Headphones,India,29293
2023-06-20,Camera,Canada,39043
2023-06-20,Smartwatch,UK,44415
2023-06-20,Headphones,Germany,7915
2023-06-21,Mobile,Germany,47380
2023-06-21,Headphones,UK,23145
2023-06-21,Tablet,Canada,41490
2023-06-21,Mobile,Canada,49046
2023-06-21,Camera,USA,24721
2023-06-22,Smartwatch,Germany,34512
2023-06-22,Camera,India,12742
2023-06-22,Smartwatch,Canada,17856
2023-06-23,Mobile,India,13650
2023-06-23,Headphones,USA,13804
2023-06-23,Headphones,USA,16818
2023-06-23,Headphones,Germany,15411
2023-06-23,Camera,UK,26010
2023-06-24,Camera,Canada,30160
2023-06-24,Camera,Germany,30998
2023-06-24,Laptop,UK,16474
2023-06-25,Headphones,India,31069
2023-06-25,Mobile,India,45995
2023-06-26,Headphones,Canada,17260
2023-06-26,Camera,USA,39210
2023-06-26,Mobile,India,34687
2023-06-27,Mobile,UK,31749
2023-06-27,Smartwatch,UK,5956
2023-06-27,Mobile,Germany,49590
2023-06-28,Headphones,UK,23019
2023-06-28,Headphones,India,20074
2023-06-29,Tablet,India,32398
2023-06-29,Tablet,UK,25602
2023-06-29,Smartwatch,Germany,28121
2023-06-29,Mobile,India,46315
2023-06-30,Laptop,Germany,28107
2023-06-30,Tablet,USA,10487
2023-07-01,Laptop,USA,45166
2023-07-01,Camera,USA,33949
2023-07-01,Laptop,USA,30769
2023-07-02,Smartwatch,India,11751
2023-07-02,Headphones,Canada,21707
2023-07-02,Mobile,Canada,22687
2023-07-03,Tablet,Canada,13994
2023-07-03,Tablet,USA,3145
2023-07-04,Camera,Germany,27688
2023-07-04,Smartwatch,Germany,2622
2023-07-04,Laptop,USA,10115
2023-07-04,Headphones,USA,46304
2023-07-05,Camera,USA,42889
2023-07-05,Headphones,Canada,1837
2023-07-05,Tablet,USA,5693
2023-07-06,Laptop,Canada,21304
2023-07-06,Headphones,Germany,47068
2023-07-06,Headphones,Germany,2345
2023-07-06,Tablet,India,48381
2023-07-07,Smartwatch,Canada,18950
2023-07-07,Laptop,USA,6149
2023-07-07,Camera,Germany,5233
2023-07-07,Tablet,Germany,36079
2023-07-08,Headphones,UK,5572
2023-07-08,Headphones,India,44988
2023-07-09,Headphones,Germany,25190
2023-07-09,Smartwatch,USA,1100
2023-07-10,Tablet,India,44418
2023-07-10,Laptop,UK,8616
2023-07-10,Mobile,USA,49101
2023-07-11,Headphones,Canada,45268
2023-07-11,Mobile,Canada,28925
2023-07-12,Camera,UK,20252
2023-07-12,Headphones,Canada,15247
2023-07-12,Headphones,UK,41237
2023-07-13,Smartwatch,Germany,7619
2023-07-13,Smartwatch,India,22995
2023-07-13,Headphones,USA,6879
2023-07-13,Laptop,India,9700
2023-07-14,Laptop,Germany,49131
2023-07-14,Laptop,Canada,37785
2023-07-14,Smartwatch,India,4216
2023-07-15,Laptop,Germany,36877
2023-07-15,Headphones,Germany,33196
2023-07-15,Laptop,UK,49557
2023-07-16,Mobile,UK,2532
2023-07-16,Headphones,USA,18877
2023-07-16,Tablet,UK,25197
2023-07-17,Headphones,UK,34479
2023-07-17,Camera,UK,25134
2023-07-17,Smartwatch,Canada,35191
2023-07-17,Camera,Canada,34756
2023-07-17,Mobile,UK,20735
2023-07-18,Headphones,India,49391
2023-07-18,Smartwatch,UK,15172
2023-07-18,Camera,Germany,31703
2023-07-18,Headphones,UK,38471
2023-07-18,Mobile,UK,49252
2023-07-19,Smartwatch,India,13613
2023-07-19,Laptop,Canada,12594
2023-07-19,Smartwatch,India,31757
2023-07-20,Laptop,USA,25017
2023-07-20,Headphones,UK,46569
2023-07-20,Mobile,UK,19518
2023-07-21,Smartwatch,Canada,9960
2023-07-21,Camera,Germany,35878
2023-07-21,Mobile,USA,49078
2023-07-21,Mobile,USA,9018
2023-07-21,Camera,Germany,36495
2023-07-22,Tablet,Canada,6699
2023-07-22,Headphones,UK,3623
2023-07-22,Camera,Canada,13870
2023-07-22,Laptop,Canada,14584
2023-07-22,Laptop,UK,29011
2023-07-23,Headphones,India,17394
2023-07-23,Mobile,UK,16204
2023-07-23,Camera,India,26592
2023-07-23,Tablet,Germany,14783
2023-07-24,Laptop,UK,31036
2023-07-24,Mobile,India,24530
2023-07-24,Laptop,India,14837
2023-07-25,Mobile,UK,38088
2023-07-25,Headphones,India,4442
2023-07-25,Camera,UK,12214
2023-07-26,Mobile,Canada,15910
2023-07-26,Mobile,India,42490
2023-07-26,Mobile,Canada,49904
2023-07-26,Headphones,Germany,26897
2023-07-27,Camera,USA,18496
2023-07-27,Headphones,India,3231
2023-07-27,Laptop,Canada,13931
2023-07-27,Headphones,India,12721
2023-07-28,Camera,UK,20121
2023-07-28,Tablet,India,49524
2023-07-29,Smartwatch,USA,47084
2023-07-29,Tablet,India,17885
2023-07-29,Tablet,UK,39707
2023-07-30,Camera,India,25451
2023-07-30,Headphones,Canada,32266
2023-07-30,Smartwatch,USA,16187
2023-07-30,Smartwatch,UK,26963
2023-07-31,Headphones,USA,8582
2023-07-31,Smartwatch,Germany,18546
2023-07-31,Smartwatch,UK,42246
2023-07-31,Laptop,USA,17980
2023-07-31,Camera,Germany,47644
2023-08-01,Laptop,UK,18379
2023-08-01,Camera,UK,10674
2023-08-01,Smartwatch,USA,16189
